propertyid,reading_date,humidity,temperature,incident_source,is_iot_alert,unresolved_flag,response_days,repeat_incident_flag,high_priority_flag,sample_type,block_augmented,tenantid_x,propertytype,estateid,tenantid_y,children_under_5,tenantid,blockid
337,2020-01-07 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
77,2020-01-12 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
301,2020-01-16 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
329,2020-01-19 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
358,2020-01-19 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
240,2020-01-22 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
78,2020-01-25 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
392,2020-03-03 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
485,2020-03-06 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
476,2020-03-07 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
447,2020-03-13 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
230,2020-03-27 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
263,2020-04-08 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
182,2020-04-10 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
240,2020-04-21 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
246,2020-04-22 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
382,2020-04-29 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
239,2020-05-03 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
388,2020-05-06 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
61,2020-05-07 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
168,2020-05-21 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
298,2020-06-09 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
69,2020-06-09 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
7,2020-06-11 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
385,2020-06-12 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
455,2020-07-20 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
381,2020-07-21 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
119,2020-07-27 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
211,2020-08-08 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
480,2020-08-20 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
307,2020-08-27 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
305,2020-09-02 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
101,2020-09-07 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
197,2020-09-17 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
260,2020-09-18 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
469,2020-10-02 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
343,2020-10-05 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
203,2020-10-20 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
488,2020-10-23 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
245,2020-11-08 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
168,2020-11-08 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
136,2020-11-29 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
494,2020-12-01 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
492,2020-12-07 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
474,2020-12-09 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
248,2020-12-17 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
453,2020-12-18 00:00:00.000000,,,Repair Report,False,False,0,False,False,real_world,False,,,,,,,
