request_id,propertyid,tenantid,datereported,dateresolved,cost,status,description,category,property_age_years,propertytype,blockid,estateid,simulated_repair_type,simulated_cost,request_date,completion_date,patch_id
1,362,1,2024-10-31,2024-11-26,675.33,Closed,Repair description for property 362,Plumbing,74,House,21.0,,Damp,213.87,2021-06-25,2021-07-20,1
2,362,1,2024-09-04,2024-04-22,4223.0,Closed,Repair description for property 362,Structural,74,House,21.0,,Electrical,159.23,2020-08-24,2020-10-09,1
3,362,1,2024-05-19,2024-05-30,1058.62,Closed,Repair description for property 362,Plumbing,74,House,21.0,,Heating,248.65,2020-10-05,2020-12-31,1
4,362,1,2025-02-13,2025-06-03,3861.66,Closed,Repair description for property 362,Electrical,74,House,21.0,,Electrical,153.26,2020-12-13,2021-01-12,1
5,74,2,2024-04-16,,,Open,Repair description for property 74,Other,78,Flat,5.0,3.0,Electrical,115.22,2021-09-18,2021-11-04,2
6,375,3,2025-02-14,,,Open,Repair description for property 375,Appliance,71,Flat,22.0,,Roofing,595.68,2020-04-13,2020-07-09,1
7,375,3,2024-08-04,2024-04-20,973.45,Closed,Repair description for property 375,Electrical,71,Flat,22.0,,Heating,345.73,2021-09-21,2021-11-09,1
8,375,3,2024-09-27,2024-10-24,1264.01,Closed,Repair description for property 375,Appliance,71,Flat,22.0,,Heating,339.82,2021-05-31,2021-07-17,1
9,375,3,2024-10-16,2024-10-25,460.67,Closed,Repair description for property 375,Electrical,71,Flat,22.0,,Heating,308.41,2022-09-06,2022-11-29,1
10,156,4,2024-06-04,,,Open,Repair description for property 156,Plumbing,15,Block of Flats,2.0,1.0,Electrical,90.82,2022-05-21,2022-08-11,2
11,105,5,2024-04-27,2024-02-05,1448.19,Closed,Repair description for property 105,Electrical,78,Flat,5.0,3.0,Damp,651.7,2020-09-04,2020-09-22,2
12,105,5,2025-10-01,2025-07-02,1838.92,Closed,Repair description for property 105,Electrical,78,Flat,5.0,3.0,Heating,208.29,2020-12-29,2021-03-05,2
13,105,5,2024-10-08,2024-05-09,158.69,Closed,Repair description for property 105,Plumbing,78,Flat,5.0,3.0,Electrical,63.74,2020-11-16,2021-01-23,2
14,105,5,2024-06-22,,,Open,Repair description for property 105,Electrical,78,Flat,5.0,3.0,Roofing,1400.78,2021-09-24,2021-10-27,2
15,395,6,2024-08-18,,,In Progress,Repair description for property 395,Electrical,74,Flat,21.0,,Damp,266.3,2020-10-12,2020-11-17,3
16,395,6,2024-11-26,2024-12-25,934.45,Closed,Repair description for property 395,Other,74,Flat,21.0,,Roofing,1440.28,2020-05-28,2020-08-18,3
17,395,6,2024-09-04,2024-11-04,630.18,Closed,Repair description for property 395,Structural,74,Flat,21.0,,Damp,529.1,2020-03-24,2020-04-12,3
18,395,6,2024-02-09,2024-09-22,3019.96,Closed,Repair description for property 395,Plumbing,74,Flat,21.0,,Electrical,77.77,2022-08-23,2022-09-20,3
19,378,7,2024-04-06,,,Open,Repair description for property 378,Electrical,29,Flat,20.0,,Heating,262.57,2021-02-09,2021-03-21,1
20,378,7,2024-04-22,2024-04-23,2614.07,Closed,Repair description for property 378,Electrical,29,Flat,20.0,,Windows,723.77,2022-09-04,2022-11-27,1
21,125,8,2024-08-24,2024-08-31,196.01,Closed,Repair description for property 125,Electrical,78,Block of Flats,5.0,3.0,Roofing,1178.67,2021-03-31,2021-06-15,5
22,125,8,2024-06-11,2024-11-29,4702.25,Closed,Repair description for property 125,Structural,78,Block of Flats,5.0,3.0,Electrical,170.98,2022-01-12,2022-01-27,5
23,69,9,2024-06-25,2024-06-28,1775.34,Closed,Repair description for property 69,Other,78,Flat,5.0,3.0,Damp,709.97,2022-03-10,2022-04-20,4
24,69,9,2024-03-30,2024-04-23,4054.61,Closed,Repair description for property 69,Appliance,78,Flat,5.0,3.0,Structural,2230.69,2020-06-09,2020-07-18,4
25,69,9,2024-09-06,,,Open,Repair description for property 69,Structural,78,Flat,5.0,3.0,Structural,2622.99,2022-02-22,2022-02-24,4
26,451,10,2024-11-17,2024-12-16,3601.11,Closed,Repair description for property 451,Appliance,73,Flat,,,Heating,174.9,2021-04-04,2021-06-06,6
27,451,10,2025-05-01,2025-01-30,2958.52,Closed,Repair description for property 451,Electrical,73,Flat,,,Heating,246.83,2021-07-03,2021-08-01,6
28,10,11,2024-06-22,2024-07-07,2147.5,Closed,Repair description for property 10,Structural,8,Flat,6.0,4.0,General,96.28,2021-05-14,2021-07-27,2
29,10,11,2024-09-16,2024-06-10,1946.08,Closed,Repair description for property 10,Electrical,8,Flat,6.0,4.0,General,58.22,2022-01-07,2022-03-14,2
30,195,12,2024-08-30,2024-09-20,4105.74,Closed,Repair description for property 195,Appliance,66,House,1.0,1.0,Damp,952.45,2021-05-23,2021-07-13,7
31,195,12,2024-03-12,,,In Progress,Repair description for property 195,Other,66,House,1.0,1.0,Damp,183.51,2021-10-15,2021-12-29,7
32,195,12,2024-01-08,2024-08-28,4392.4,Closed,Repair description for property 195,Other,66,House,1.0,1.0,Heating,311.67,2022-03-14,2022-05-30,7
33,195,12,2024-08-30,2024-03-09,940.53,Closed,Repair description for property 195,Structural,66,House,1.0,1.0,Damp,936.46,2021-04-25,2021-05-05,7
34,195,12,2024-07-22,,,In Progress,Repair description for property 195,Electrical,66,House,1.0,1.0,Damp,303.49,2021-10-24,2021-11-07,7
35,407,13,2024-08-11,2024-11-20,767.95,Closed,Repair description for property 407,Structural,29,House,20.0,,Windows,540.77,2020-04-23,2020-07-14,6
36,85,14,2025-02-22,2025-02-23,3598.17,Closed,Repair description for property 85,Electrical,103,Flat,9.0,5.0,Structural,2788.72,2022-01-18,2022-03-10,7
37,372,15,2024-12-05,,,Open,Repair description for property 372,Other,47,Flat,19.0,,Plumbing,66.45,2021-07-31,2021-10-12,8
38,372,15,2025-01-24,2025-02-13,1100.27,Closed,Repair description for property 372,Electrical,47,Flat,19.0,,Structural,2243.55,2020-12-26,2021-02-03,8
39,372,15,2025-05-01,2025-01-28,3059.13,Closed,Repair description for property 372,Plumbing,47,Flat,19.0,,Plumbing,116.5,2020-12-06,2021-01-03,8
40,372,15,2024-09-05,,,In Progress,Repair description for property 372,Appliance,47,Flat,19.0,,Structural,2810.99,2022-02-08,2022-02-11,8
41,389,16,2024-09-16,2024-09-18,4023.49,Closed,Repair description for property 389,Appliance,47,Flat,18.0,,Plumbing,133.0,2022-09-13,2022-12-06,1
42,389,16,2025-03-02,,,In Progress,Repair description for property 389,Plumbing,47,Flat,18.0,,Plumbing,67.41,2022-01-30,2022-04-10,1
43,389,16,2024-12-25,2025-01-14,1668.03,Closed,Repair description for property 389,Appliance,47,Flat,18.0,,Plumbing,65.88,2022-08-26,2022-09-22,1
44,496,17,2024-07-05,2024-08-05,3236.15,Closed,Repair description for property 496,Other,73,House,,,Structural,2655.11,2021-03-24,2021-03-26,7
45,496,17,2025-02-24,,,In Progress,Repair description for property 496,Electrical,73,House,,,Damp,867.87,2022-04-22,2022-05-30,7
46,31,18,2025-08-02,,,Open,Repair description for property 31,Structural,8,Flat,6.0,4.0,General,111.03,2022-04-14,2022-04-17,5
47,31,18,2024-02-04,2024-04-18,520.84,Closed,Repair description for property 31,Appliance,8,Flat,6.0,4.0,General,44.93,2020-06-28,2020-07-14,5
48,31,18,2024-09-25,2024-10-20,1761.83,Closed,Repair description for property 31,Plumbing,8,Flat,6.0,4.0,General,123.81,2021-12-02,2022-01-11,5
49,31,18,2024-05-18,,,In Progress,Repair description for property 31,Other,8,Flat,6.0,4.0,General,144.13,2021-02-10,2021-02-12,5
50,317,19,2024-09-08,2024-08-24,2492.02,Closed,Repair description for property 317,Plumbing,29,Flat,20.0,,Plumbing,103.7,2021-10-27,2022-01-16,3
51,409,20,2024-04-16,2024-04-24,286.78,Closed,Repair description for property 409,Plumbing,47,Flat,19.0,,Structural,801.42,2020-07-14,2020-08-24,4
52,409,20,2024-12-17,2024-12-28,4313.87,Closed,Repair description for property 409,Appliance,47,Flat,19.0,,Heating,123.09,2021-04-10,2021-04-22,4
53,409,20,2024-03-11,2024-10-11,3634.33,Closed,Repair description for property 409,Structural,47,Flat,19.0,,Windows,617.77,2020-11-06,2020-12-11,4
54,491,21,2025-02-24,,,Open,Repair description for property 491,Structural,73,Flat,,,Damp,438.89,2020-09-18,2020-11-22,8
55,491,21,2025-04-02,2025-02-14,421.46,Closed,Repair description for property 491,Structural,73,Flat,,,Damp,766.05,2021-02-22,2021-04-18,8
56,491,21,2024-11-03,2024-06-04,1928.8,Closed,Repair description for property 491,Electrical,73,Flat,,,Damp,205.55,2021-02-09,2021-03-26,8
57,491,21,2024-12-18,2024-12-22,675.13,Closed,Repair description for property 491,Electrical,73,Flat,,,Electrical,97.29,2022-07-27,2022-10-14,8
58,491,21,2024-03-05,,,In Progress,Repair description for property 491,Appliance,73,Flat,,,Heating,261.85,2020-05-22,2020-08-15,8
59,492,22,2024-04-06,2024-06-23,2415.74,Closed,Repair description for property 492,Appliance,73,House,,,Structural,2476.81,2020-12-07,2021-02-07,5
60,281,23,2024-09-15,,,In Progress,Repair description for property 281,Electrical,29,Flat,20.0,,Windows,391.25,2020-11-11,2020-12-30,4
61,281,23,2025-10-01,2025-01-20,3571.34,Closed,Repair description for property 281,Structural,29,Flat,20.0,,Plumbing,178.92,2020-04-10,2020-05-05,4
62,281,23,2024-05-17,,,Open,Repair description for property 281,Electrical,29,Flat,20.0,,Windows,731.59,2020-08-31,2020-09-23,4
63,357,24,2025-01-19,,,Open,Repair description for property 357,Electrical,47,Flat,19.0,,Windows,569.52,2021-05-04,2021-05-28,2
64,77,25,2024-03-20,2024-04-16,1956.05,Closed,Repair description for property 77,Appliance,49,Flat,11.0,6.0,Structural,2854.31,2020-01-12,2020-02-19,4
65,462,26,2024-05-09,2024-09-24,3819.93,Closed,Repair description for property 462,Other,73,Flat,,,Roofing,329.28,2020-08-26,2020-09-23,5
66,498,27,2024-09-20,,,Open,Repair description for property 498,Other,73,House,,,Damp,889.58,2021-07-14,2021-08-04,4
67,498,27,2025-03-01,,,Open,Repair description for property 498,Structural,73,House,,,Electrical,53.19,2020-02-11,2020-04-05,4
68,498,27,2024-08-13,,,Open,Repair description for property 498,Appliance,73,House,,,Roofing,1349.64,2021-11-08,2021-11-26,4
69,212,28,2025-01-22,2025-01-28,3447.02,Closed,Repair description for property 212,Other,80,Flat,12.0,7.0,Roofing,371.37,2021-08-16,2021-09-21,7
70,212,28,2024-01-04,2024-04-16,4387.17,Closed,Repair description for property 212,Plumbing,80,Flat,12.0,7.0,Roofing,303.8,2021-03-04,2021-04-18,7
71,102,29,2025-02-18,,,Open,Repair description for property 102,Structural,25,Flat,17.0,10.0,Plumbing,211.77,2022-03-13,2022-05-25,2
72,102,29,2025-12-02,2025-01-03,2290.57,Closed,Repair description for property 102,Structural,25,Flat,17.0,10.0,Plumbing,249.61,2020-06-06,2020-07-29,2
73,335,30,2024-05-21,2024-04-06,1099.73,Closed,Repair description for property 335,Appliance,74,House,21.0,,Damp,448.11,2020-08-03,2020-09-02,6
74,476,31,2024-07-21,2024-07-23,2234.64,Closed,Repair description for property 476,Structural,73,Block of Flats,,,Damp,802.11,2021-10-31,2021-12-30,8
75,476,31,2025-07-01,2025-01-20,3673.41,Closed,Repair description for property 476,Appliance,73,Block of Flats,,,Structural,1504.83,2021-04-06,2021-05-08,8
76,476,31,2024-11-19,2024-02-12,924.39,Closed,Repair description for property 476,Structural,73,Block of Flats,,,Electrical,121.98,2020-05-13,2020-07-19,8
77,476,31,2024-05-31,2024-06-17,2196.15,Closed,Repair description for property 476,Plumbing,73,Block of Flats,,,Electrical,144.13,2020-03-07,2020-05-13,8
78,476,31,2024-02-04,2024-06-04,1136.92,Closed,Repair description for property 476,Plumbing,73,Block of Flats,,,Roofing,1348.41,2022-04-27,2022-05-25,8
79,337,32,2024-08-05,2024-11-05,2684.05,Closed,Repair description for property 337,Structural,29,House,20.0,,General,148.25,2020-01-07,2020-02-20,5
80,441,33,2024-04-15,2024-04-28,1989.95,Closed,Repair description for property 441,Plumbing,73,Flat,,,Electrical,165.24,2022-08-05,2022-10-23,1
81,441,33,2024-06-11,,,In Progress,Repair description for property 441,Appliance,73,Flat,,,Roofing,801.32,2021-06-09,2021-07-20,1
82,174,34,2024-01-12,,,In Progress,Repair description for property 174,Structural,49,Flat,11.0,6.0,Structural,2171.43,2020-03-13,2020-05-15,4
83,174,34,2024-02-03,2024-03-26,65.38,Closed,Repair description for property 174,Electrical,49,Flat,11.0,6.0,Structural,2196.67,2021-02-02,2021-02-25,4
84,3,35,2024-05-03,2024-03-29,1561.35,Closed,Repair description for property 3,Electrical,80,Flat,10.0,5.0,Damp,352.96,2021-02-08,2021-04-24,5
85,3,35,2024-01-12,2024-04-12,874.89,Closed,Repair description for property 3,Structural,80,Flat,10.0,5.0,Damp,243.9,2021-11-05,2021-12-23,5
86,3,35,2024-08-07,2024-09-07,3346.86,Closed,Repair description for property 3,Appliance,80,Flat,10.0,5.0,Electrical,103.19,2021-07-31,2021-09-01,5
87,3,35,2024-08-09,2024-09-17,4412.22,Closed,Repair description for property 3,Electrical,80,Flat,10.0,5.0,Structural,1218.1,2022-05-08,2022-07-04,5
88,3,35,2024-03-16,,,Open,Repair description for property 3,Other,80,Flat,10.0,5.0,Electrical,94.45,2020-05-09,2020-06-11,5
89,334,36,2024-06-29,2024-07-15,4372.43,Closed,Repair description for property 334,Appliance,47,Flat,19.0,,Structural,1084.02,2022-07-19,2022-08-12,3
90,334,36,2025-01-01,2025-02-01,2857.97,Closed,Repair description for property 334,Structural,47,Flat,19.0,,Roofing,350.51,2021-04-10,2021-05-19,3
91,334,36,2024-02-11,2024-08-11,3787.21,Closed,Repair description for property 334,Plumbing,47,Flat,19.0,,Roofing,321.45,2020-07-24,2020-08-27,3
92,410,37,2024-09-24,,,In Progress,Repair description for property 410,Appliance,71,House,22.0,,Structural,2969.31,2022-02-26,2022-04-23,6
93,71,38,2024-08-31,,,In Progress,Repair description for property 71,Appliance,15,House,2.0,1.0,Electrical,114.17,2022-09-04,2022-10-02,2
94,71,38,2024-10-20,2024-10-21,4147.36,Closed,Repair description for property 71,Structural,15,House,2.0,1.0,General,82.28,2022-02-06,2022-03-15,2
95,71,38,2024-02-29,2024-03-17,3883.91,Closed,Repair description for property 71,Other,15,House,2.0,1.0,General,114.76,2020-09-22,2020-09-29,2
96,71,38,2024-06-24,2024-07-16,2620.58,Closed,Repair description for property 71,Plumbing,15,House,2.0,1.0,General,64.01,2021-06-20,2021-08-27,2
97,210,39,2024-07-31,,,Open,Repair description for property 210,Structural,80,House,10.0,5.0,Structural,2874.9,2022-08-19,2022-09-25,5
98,210,39,2024-06-17,2024-06-07,3718.01,Closed,Repair description for property 210,Appliance,80,House,10.0,5.0,Heating,335.9,2022-03-03,2022-04-28,5
99,64,40,2024-11-13,,,Open,Repair description for property 64,Appliance,66,Flat,1.0,1.0,Heating,126.82,2020-09-09,2020-11-13,1
100,64,40,2024-05-04,2024-04-14,4391.86,Closed,Repair description for property 64,Other,66,Flat,1.0,1.0,Structural,1543.95,2022-04-01,2022-06-05,1
101,64,40,2024-11-07,,,Open,Repair description for property 64,Structural,66,Flat,1.0,1.0,Heating,363.74,2020-10-15,2020-12-01,1
102,385,41,2024-10-09,2024-09-24,4729.07,Closed,Repair description for property 385,Structural,47,Flat,19.0,,Structural,2861.83,2020-06-12,2020-07-02,5
103,385,41,2024-09-21,2024-10-10,2624.38,Closed,Repair description for property 385,Structural,47,Flat,19.0,,Heating,240.22,2020-04-04,2020-04-23,5
104,385,41,2024-04-19,2024-05-15,2302.39,Closed,Repair description for property 385,Structural,47,Flat,19.0,,Heating,284.02,2022-02-20,2022-03-21,5
105,94,42,2025-01-01,,,In Progress,Repair description for property 94,Electrical,25,Flat,17.0,10.0,Heating,150.11,2022-04-12,2022-06-25,6
106,94,42,2024-03-07,2024-07-20,4835.02,Closed,Repair description for property 94,Other,25,Flat,17.0,10.0,Windows,794.7,2020-04-19,2020-06-18,6
107,94,42,2024-05-17,2024-05-27,2459.78,Closed,Repair description for property 94,Plumbing,25,Flat,17.0,10.0,General,65.48,2020-12-01,2020-12-19,6
108,486,43,2025-02-19,2025-02-26,1450.94,Closed,Repair description for property 486,Other,73,Flat,,,Structural,2856.83,2022-04-01,2022-05-06,6
109,486,43,2024-12-25,2025-04-01,75.2,Closed,Repair description for property 486,Structural,73,Flat,,,Damp,702.2,2020-08-25,2020-10-07,6
110,486,43,2024-03-25,,,Open,Repair description for property 486,Structural,73,Flat,,,Roofing,1029.28,2021-01-15,2021-01-26,6
111,186,44,2024-08-31,,,Open,Repair description for property 186,Plumbing,37,House,13.0,8.0,Heating,253.81,2021-03-11,2021-04-29,5
112,186,44,2024-11-10,2024-04-11,1023.8,Closed,Repair description for property 186,Other,37,House,13.0,8.0,Windows,338.4,2022-06-17,2022-07-25,5
113,34,45,2024-01-10,2024-10-17,4668.03,Closed,Repair description for property 34,Electrical,47,Flat,16.0,9.0,Structural,941.32,2021-04-27,2021-06-30,2
114,78,46,2024-07-25,2024-08-23,535.79,Closed,Repair description for property 78,Structural,25,Flat,17.0,10.0,General,64.25,2022-07-25,2022-10-02,4
115,78,46,2024-09-25,2024-01-10,2841.34,Closed,Repair description for property 78,Structural,25,Flat,17.0,10.0,Windows,311.86,2022-06-20,2022-06-28,4
116,78,46,2024-06-05,2024-05-31,1037.56,Closed,Repair description for property 78,Electrical,25,Flat,17.0,10.0,Windows,667.75,2020-01-25,2020-02-28,4
117,78,46,2024-07-28,2024-07-08,1559.73,Closed,Repair description for property 78,Structural,25,Flat,17.0,10.0,Plumbing,126.52,2021-10-14,2021-12-01,4
118,1,47,2024-11-04,2024-04-17,1911.03,Closed,Repair description for property 1,Appliance,66,Flat,1.0,1.0,Heating,117.35,2020-04-26,2020-06-21,7
119,1,47,2025-08-01,2025-01-23,3485.96,Closed,Repair description for property 1,Other,66,Flat,1.0,1.0,Heating,390.73,2021-04-26,2021-07-11,7
120,1,47,2024-03-13,,,In Progress,Repair description for property 1,Structural,66,Flat,1.0,1.0,Structural,2709.46,2021-01-26,2021-04-01,7
121,1,47,2024-07-23,2024-06-08,2333.36,Closed,Repair description for property 1,Other,66,Flat,1.0,1.0,Heating,378.33,2022-07-05,2022-08-05,7
122,1,47,2025-02-13,,,In Progress,Repair description for property 1,Plumbing,66,Flat,1.0,1.0,Electrical,199.24,2022-09-20,2022-09-24,7
123,12,48,2024-04-18,,,Open,Repair description for property 12,Other,25,Flat,17.0,10.0,General,59.13,2022-08-21,2022-10-10,7
124,12,48,2024-09-06,2024-06-29,2739.18,Closed,Repair description for property 12,Other,25,Flat,17.0,10.0,Plumbing,135.29,2021-06-20,2021-08-28,7
125,416,49,2025-01-30,,,In Progress,Repair description for property 416,Electrical,74,House,21.0,,Heating,327.47,2020-03-19,2020-04-18,1
126,416,49,2024-04-08,2024-08-19,4047.03,Closed,Repair description for property 416,Other,74,House,21.0,,Structural,2240.05,2021-08-02,2021-10-29,1
127,416,49,2024-06-07,,,Open,Repair description for property 416,Plumbing,74,House,21.0,,Electrical,73.08,2020-06-21,2020-08-19,1
128,23,50,2024-03-31,2024-04-20,532.13,Closed,Repair description for property 23,Structural,15,Flat,2.0,1.0,Plumbing,215.01,2022-08-13,2022-10-19,2
129,23,50,2024-05-13,2024-05-24,4328.35,Closed,Repair description for property 23,Plumbing,15,Flat,2.0,1.0,General,64.69,2020-01-12,2020-03-27,2
130,23,50,2024-03-05,2024-05-27,3598.91,Closed,Repair description for property 23,Electrical,15,Flat,2.0,1.0,General,64.62,2022-03-10,2022-04-24,2
131,73,51,2024-12-15,2024-12-31,725.19,Closed,Repair description for property 73,Electrical,66,Flat,1.0,1.0,Heating,261.09,2020-05-07,2020-05-11,1
132,73,51,2024-09-25,2024-10-19,4946.34,Closed,Repair description for property 73,Plumbing,66,Flat,1.0,1.0,Structural,1982.35,2021-08-30,2021-09-25,1
133,73,51,2024-06-23,2024-06-30,617.81,Closed,Repair description for property 73,Plumbing,66,Flat,1.0,1.0,Roofing,996.1,2020-04-01,2020-04-28,1
134,73,51,2024-10-12,2024-12-14,2623.12,Closed,Repair description for property 73,Electrical,66,Flat,1.0,1.0,Roofing,409.78,2021-10-14,2021-11-29,1
135,73,51,2024-11-14,2024-11-15,4172.0,Closed,Repair description for property 73,Appliance,66,Flat,1.0,1.0,Damp,895.84,2021-06-26,2021-08-29,1
136,183,52,2025-01-29,,,In Progress,Repair description for property 183,Appliance,80,Flat,12.0,7.0,Roofing,1068.24,2022-04-25,2022-06-15,6
137,183,52,2024-06-24,,,Open,Repair description for property 183,Other,80,Flat,12.0,7.0,Roofing,658.12,2021-06-15,2021-08-04,6
138,183,52,2024-10-16,,,In Progress,Repair description for property 183,Other,80,Flat,12.0,7.0,Roofing,588.46,2021-10-19,2021-10-25,6
139,183,52,2024-12-25,2025-01-15,157.21,Closed,Repair description for property 183,Electrical,80,Flat,12.0,7.0,Roofing,674.28,2022-09-15,2022-11-13,6
140,132,53,2024-01-12,2024-12-24,2756.07,Closed,Repair description for property 132,Appliance,37,Flat,13.0,8.0,Heating,358.64,2022-04-07,2022-04-22,5
141,132,53,2024-06-26,2024-07-18,545.1,Closed,Repair description for property 132,Other,37,Flat,13.0,8.0,Windows,685.71,2021-03-22,2021-04-21,5
142,411,54,2024-08-22,2024-04-09,1959.81,Closed,Repair description for property 411,Plumbing,47,Flat,19.0,,Windows,593.15,2021-01-24,2021-03-07,3
