propertyid,reading_date,humidity,temperature,incident_source,is_iot_alert,unresolved_flag,response_days,repeat_incident_flag,high_priority_flag,tenantid_x,propertytype,estateid,tenantid_y,children_under_5
337,2020-01-07 00:00:00.000000,,,Repair Report,False,True,0,False,False,32.0,House,,32.0,True
77,2020-01-12 00:00:00.000000,,,Repair Report,False,True,0,False,False,25.0,Flat,6.0,25.0,False
301,2020-01-16 00:00:00.000000,,,Repair Report,False,False,0,False,False,387.0,Block of Flats,,387.0,False
329,2020-01-19 00:00:00.000000,,,Repair Report,False,False,0,False,False,445.0,Flat,,445.0,False
358,2020-01-19 00:00:00.000000,,,Repair Report,False,False,0,False,False,156.0,Flat,,156.0,True
240,2020-01-22 00:00:00.000000,,,Repair Report,False,True,0,False,False,266.0,Block of Flats,,266.0,False
78,2020-01-25 00:00:00.000000,,,Repair Report,False,False,0,False,False,46.0,Flat,10.0,46.0,False
392,2020-03-03 00:00:00.000000,,,Repair Report,False,False,0,False,False,70.0,Flat,,70.0,False
485,2020-03-06 00:00:00.000000,,,Repair Report,False,True,0,False,False,343.0,House,,343.0,True
476,2020-03-07 00:00:00.000000,,,Repair Report,False,True,0,False,False,31.0,Block of Flats,,31.0,False
447,2020-03-13 00:00:00.000000,,,Repair Report,False,True,0,False,False,370.0,Flat,,370.0,True
230,2020-03-27 00:00:00.000000,,,Repair Report,False,False,0,False,False,108.0,Flat,,108.0,False
263,2020-04-08 00:00:00.000000,,,Repair Report,False,False,0,False,False,62.0,House,,62.0,False
182,2020-04-10 00:00:00.000000,,,Repair Report,False,False,0,False,False,178.0,Flat,1.0,178.0,True
240,2020-04-21 00:00:00.000000,,,Repair Report,False,False,0,False,False,266.0,Block of Flats,,266.0,False
246,2020-04-22 00:00:00.000000,,,Repair Report,False,False,0,False,False,203.0,Flat,,203.0,False
382,2020-04-29 00:00:00.000000,,,Repair Report,False,True,0,False,False,91.0,Flat,,91.0,True
239,2020-05-03 00:00:00.000000,,,Repair Report,False,True,0,False,False,69.0,Flat,,69.0,True
388,2020-05-06 00:00:00.000000,,,Repair Report,False,False,0,False,False,442.0,Flat,,442.0,False
61,2020-05-07 00:00:00.000000,,,Repair Report,False,False,0,False,False,160.0,House,6.0,160.0,False
168,2020-05-21 00:00:00.000000,,,Repair Report,False,False,0,False,False,250.0,Flat,9.0,250.0,False
298,2020-06-09 00:00:00.000000,,,Repair Report,False,True,0,False,False,255.0,House,,255.0,False
69,2020-06-09 00:00:00.000000,,,Repair Report,False,False,0,False,False,9.0,Flat,3.0,9.0,False
7,2020-06-11 00:00:00.000000,,,Repair Report,False,False,0,False,False,234.0,Flat,1.0,234.0,False
385,2020-06-12 00:00:00.000000,,,Repair Report,False,True,0,False,False,41.0,Flat,,41.0,False
455,2020-07-20 00:00:00.000000,,,Repair Report,False,False,0,False,False,185.0,House,,185.0,False
381,2020-07-21 00:00:00.000000,,,Repair Report,False,True,0,False,False,245.0,Flat,,245.0,True
119,2020-07-27 00:00:00.000000,,,Repair Report,False,True,0,False,False,174.0,House,6.0,174.0,False
211,2020-08-08 00:00:00.000000,,,Repair Report,False,False,0,False,False,189.0,House,5.0,189.0,False
480,2020-08-20 00:00:00.000000,,,Repair Report,False,False,0,False,False,143.0,House,,143.0,False
307,2020-08-27 00:00:00.000000,,,Repair Report,False,False,0,False,False,448.0,House,,448.0,False
305,2020-09-02 00:00:00.000000,,,Repair Report,False,False,0,False,False,76.0,Flat,,76.0,False
101,2020-09-07 00:00:00.000000,,,Repair Report,False,True,0,False,False,356.0,Flat,6.0,356.0,False
197,2020-09-17 00:00:00.000000,,,Repair Report,False,False,0,False,False,224.0,Flat,3.0,224.0,True
260,2020-09-18 00:00:00.000000,,,Repair Report,False,False,0,False,False,417.0,Flat,,417.0,False
469,2020-10-02 00:00:00.000000,,,Repair Report,False,True,0,False,False,392.0,Flat,,392.0,False
343,2020-10-05 00:00:00.000000,,,Repair Report,False,False,0,False,False,338.0,Block of Flats,,338.0,False
203,2020-10-20 00:00:00.000000,,,Repair Report,False,True,0,False,False,272.0,Flat,1.0,272.0,False
488,2020-10-23 00:00:00.000000,,,Repair Report,False,False,0,False,False,299.0,Flat,,299.0,False
245,2020-11-08 00:00:00.000000,,,Repair Report,False,False,0,False,False,227.0,Block of Flats,,227.0,False
168,2020-11-08 00:00:00.000000,,,Repair Report,False,False,0,False,False,250.0,Flat,9.0,250.0,False
136,2020-11-29 00:00:00.000000,,,Repair Report,False,False,0,False,False,380.0,Flat,3.0,380.0,False
494,2020-12-01 00:00:00.000000,,,Repair Report,False,False,0,False,False,191.0,Flat,,191.0,True
492,2020-12-07 00:00:00.000000,,,Repair Report,False,False,0,False,False,22.0,House,,22.0,True
474,2020-12-09 00:00:00.000000,,,Repair Report,False,True,0,False,False,434.0,House,,434.0,True
248,2020-12-17 00:00:00.000000,,,Repair Report,False,False,0,False,False,117.0,House,,117.0,False
453,2020-12-18 00:00:00.000000,,,Repair Report,False,False,0,False,False,322.0,Flat,,322.0,False
111,2020-12-27 00:00:00.000000,,,Repair Report,False,False,0,False,False,161.0,Flat,4.0,161.0,False
421,2021-01-15 00:00:00.000000,,,Repair Report,False,False,0,False,False,286.0,Flat,,286.0,True
199,2021-01-18 00:00:00.000000,,,Repair Report,False,False,0,False,False,254.0,Flat,1.0,254.0,False
255,2021-02-04 00:00:00.000000,,,Repair Report,False,False,0,False,False,351.0,Flat,,351.0,False
115,2021-02-21 00:00:00.000000,,,Repair Report,False,True,0,False,False,175.0,Flat,5.0,175.0,False
295,2021-03-11 00:00:00.000000,,,Repair Report,False,True,0,False,False,292.0,House,,292.0,True
465,2021-03-17 00:00:00.000000,,,Repair Report,False,True,0,False,False,115.0,Block of Flats,,115.0,False
298,2021-03-20 00:00:00.000000,,,Repair Report,False,False,0,False,False,255.0,House,,255.0,False
496,2021-03-24 00:00:00.000000,,,Repair Report,False,False,0,False,False,17.0,House,,17.0,False
312,2021-03-29 00:00:00.000000,,,Repair Report,False,False,0,False,False,303.0,Flat,,303.0,False
278,2021-03-30 00:00:00.000000,,,Repair Report,False,False,0,False,False,73.0,Flat,,73.0,True
495,2021-04-07 00:00:00.000000,,,Repair Report,False,False,0,False,False,61.0,Flat,,61.0,False
409,2021-04-10 00:00:00.000000,,,Repair Report,False,False,0,False,False,20.0,Flat,,20.0,False
246,2021-04-25 00:00:00.000000,,,Repair Report,False,False,0,False,False,203.0,Flat,,203.0,False
195,2021-04-25 00:00:00.000000,,,Repair Report,False,True,0,False,False,12.0,House,1.0,12.0,False
233,2021-04-30 00:00:00.000000,,,Repair Report,False,False,0,False,False,308.0,House,,308.0,False
