propertyid,reading_date,humidity,temperature,incident_source,is_iot_alert,unresolved_flag,response_days,repeat_incident_flag,high_priority_flag,tenantid_x,estateid,tenantid_y,children_under_5,propertytype,blockid
337,2020-01-07 00:00:00.000000,,,Repair Report,False,True,0,False,False,32.0,,32.0,True,House,20.0
77,2020-01-12 00:00:00.000000,,,Repair Report,False,True,0,False,False,25.0,6.0,25.0,False,Flat,11.0
301,2020-01-16 00:00:00.000000,,,Repair Report,False,False,0,False,False,387.0,,387.0,False,Block of Flats,21.0
329,2020-01-19 00:00:00.000000,,,Repair Report,False,False,0,False,False,445.0,,445.0,False,Flat,19.0
358,2020-01-19 00:00:00.000000,,,Repair Report,False,False,0,False,False,156.0,,156.0,True,Flat,21.0
240,2020-01-22 00:00:00.000000,,,Repair Report,False,True,0,False,False,266.0,,266.0,False,Block of Flats,21.0
78,2020-01-25 00:00:00.000000,,,Repair Report,False,False,0,False,False,46.0,10.0,46.0,False,Flat,17.0
392,2020-03-03 00:00:00.000000,,,Repair Report,False,False,0,False,False,70.0,,70.0,False,Flat,18.0
485,2020-03-06 00:00:00.000000,,,Repair Report,False,True,0,False,False,343.0,,343.0,True,House,
476,2020-03-07 00:00:00.000000,,,Repair Report,False,True,0,False,False,31.0,,31.0,False,Block of Flats,
447,2020-03-13 00:00:00.000000,,,Repair Report,False,True,0,False,False,370.0,,370.0,True,Flat,
230,2020-03-27 00:00:00.000000,,,Repair Report,False,False,0,False,False,108.0,,108.0,False,Flat,22.0
263,2020-04-08 00:00:00.000000,,,Repair Report,False,False,0,False,False,62.0,,62.0,False,House,19.0
182,2020-04-10 00:00:00.000000,,,Repair Report,False,False,0,False,False,178.0,1.0,178.0,True,Flat,1.0
240,2020-04-21 00:00:00.000000,,,Repair Report,False,False,0,False,False,266.0,,266.0,False,Block of Flats,21.0
246,2020-04-22 00:00:00.000000,,,Repair Report,False,False,0,False,False,203.0,,203.0,False,Flat,19.0
382,2020-04-29 00:00:00.000000,,,Repair Report,False,True,0,False,False,91.0,,91.0,True,Flat,20.0
239,2020-05-03 00:00:00.000000,,,Repair Report,False,True,0,False,False,69.0,,69.0,True,Flat,22.0
388,2020-05-06 00:00:00.000000,,,Repair Report,False,False,0,False,False,442.0,,442.0,False,Flat,20.0
