request_id,tenantid,propertyid,patch_id,request_type,description,request_date,status,resolution_date,property_age_years,propertytype,blockid,simulated_request_type
1,1,362,1,Plumbing,Repair description for property 362,2021-06-25,Closed,2024-11-26,74,House,21.0,Damp
2,1,362,1,Structural,Repair description for property 362,2020-08-24,Closed,2024-04-22,74,House,21.0,Electrical
3,1,362,1,Plumbing,Repair description for property 362,2020-10-05,Closed,2024-05-30,74,House,21.0,Heating
4,1,362,1,Electrical,Repair description for property 362,2020-12-13,Closed,2025-06-03,74,House,21.0,Electrical
5,2,74,2,Other,Repair description for property 74,2021-09-18,Open,,78,Flat,5.0,Electrical
6,3,375,1,Appliance,Repair description for property 375,2020-04-13,Open,,71,Flat,22.0,Roofing
7,3,375,1,Electrical,Repair description for property 375,2021-09-21,Closed,2024-04-20,71,Flat,22.0,Heating
8,3,375,1,Appliance,Repair description for property 375,2021-05-31,Closed,2024-10-24,71,Flat,22.0,Heating
9,3,375,1,Electrical,Repair description for property 375,2022-09-06,Closed,2024-10-25,71,Flat,22.0,Heating
10,4,156,2,Plumbing,Repair description for property 156,2022-05-21,Open,,15,Block of Flats,2.0,Electrical
11,5,105,2,Electrical,Repair description for property 105,2020-09-04,Closed,2024-02-05,78,Flat,5.0,Damp
12,5,105,2,Electrical,Repair description for property 105,2020-12-29,Closed,2025-07-02,78,Flat,5.0,Heating
13,5,105,2,Plumbing,Repair description for property 105,2020-11-16,Closed,2024-05-09,78,Flat,5.0,Electrical
14,5,105,2,Electrical,Repair description for property 105,2021-09-24,Open,,78,Flat,5.0,Roofing
15,6,395,3,Electrical,Repair description for property 395,2020-10-12,In Progress,,74,Flat,21.0,Damp
16,6,395,3,Other,Repair description for property 395,2020-05-28,Closed,2024-12-25,74,Flat,21.0,Roofing
17,6,395,3,Structural,Repair description for property 395,2020-03-24,Closed,2024-11-04,74,Flat,21.0,Damp
18,6,395,3,Plumbing,Repair description for property 395,2022-08-23,Closed,2024-09-22,74,Flat,21.0,Electrical
19,7,378,1,Electrical,Repair description for property 378,2021-02-09,Open,,29,Flat,20.0,Heating
