compliance_id,propertyid,compliance_type,last_inspection_date,next_due_date,days_until_due,status,risk_level,responsible_person,regulatory_body,certificate_reference,notes,remedial_actions_required,property_type,is_higher_risk,property_age_years,blockid,estateid,patchid
1,1,Fire Risk Assessment,2024-12-09,2025-12-04,220,Compliant,Low,Miss Amber Phillips,Local Authority Building Control,FIR-YB381us-2024,,,Flat,False,31.0,1.0,1.0,7.0
2,1,Gas Safety Certificate,2025-03-15,2026-03-10,316,Compliant,High,Roy Taylor-Long,Health and Safety Executive,GAS-kb424fo-2025,All systems functioning correctly.,,Flat,False,31.0,1.0,1.0,7.0
3,1,Electrical Installation Condition Report,2022-03-06,2027-02-08,651,Compliant,Medium,Nicola Chan,Housing Ombudsman,ELE-aH064Vb-2022,,,Flat,False,31.0,1.0,1.0,7.0
4,1,Asbestos Survey,2025-04-22,2027-04-12,714,Compliant,Low,Timothy Smith,Local Authority Building Control,ASB-Ix060wf-2025,,,Flat,False,31.0,1.0,1.0,7.0
5,1,Legionella Risk Assessment,2024-05-19,2026-05-09,376,Compliant,Low,Dr Raymond Jenkins,Fire and Rescue Authority,LEG-tc042jJ-2024,,,Flat,False,31.0,1.0,1.0,7.0
6,1,Lift Inspection,2025-01-01,2025-06-30,63,Compliant,High,Danielle Butler,Building Safety Regulator,LIF-EL512Ek-2025,Routine inspection completed successfully.,,Flat,False,31.0,1.0,1.0,7.0
7,1,Emergency Lighting Test,2024-10-25,2025-10-20,175,Compliant,Medium,Douglas James,Regulator of Social Housing,EME-Qb665ka-2024,All systems functioning correctly.,,Flat,False,31.0,1.0,1.0,7.0
8,1,Fire Alarm System Test,2025-02-28,2025-08-27,121,Compliant,Critical,Stacey Hopkins,Building Safety Regulator,FIR-mV910Nb-2025,,,Flat,False,31.0,1.0,1.0,7.0
9,1,Fire Extinguisher Inspection,2024-10-21,2025-10-16,171,Compliant,Low,Mr Jake Hopkins,Regulator of Social Housing,FIR-XG391pP-2024,,,Flat,False,31.0,1.0,1.0,7.0
10,1,Smoke/Heat Detector Test,2024-06-21,2025-06-16,49,Compliant,Medium,Dr Anthony Norris,Housing Ombudsman,SMO-TS264cY-2024,,,Flat,False,31.0,1.0,1.0,7.0
11,1,Water Risk Assessment,2023-07-13,2025-07-02,65,Compliant,Low,Frank Harris,Local Authority Building Control,WAT-Vb419mm-2023,,,Flat,False,31.0,1.0,1.0,7.0
