propertyid,period_start,energy_kwh,property_age_years,propertytype,blockid,simulated_energy_kwh
1,2024-05-01 11:52:28.455679,295,66,Flat,1.0,3562.85
1,2024-06-01 11:52:28.455679,279,66,Flat,1.0,3146.4
1,2024-07-01 11:52:28.455679,345,66,Flat,1.0,3609.39
1,2024-08-01 11:52:28.455679,379,66,Flat,1.0,3348.19
1,2024-09-01 11:52:28.455679,283,66,Flat,1.0,3561.85
1,2024-10-01 11:52:28.455679,224,66,Flat,1.0,3032.09
1,2024-11-01 11:52:28.455679,328,66,Flat,1.0,3356.12
1,2024-12-01 11:52:28.455679,291,66,Flat,1.0,3349.05
1,2025-01-01 11:52:28.455679,294,66,Flat,1.0,3196.15
1,2025-02-01 11:52:28.455679,430,66,Flat,1.0,3382.62
1,2025-03-01 11:52:28.455679,316,66,Flat,1.0,3627.92
1,2025-04-01 11:52:28.455679,331,66,Flat,1.0,3180.77
2,2024-05-01 11:52:28.455679,305,23,Flat,15.0,2652.37
2,2024-06-01 11:52:28.455679,245,23,Flat,15.0,2234.52
2,2024-07-01 11:52:28.455679,280,23,Flat,15.0,2881.89
2,2024-08-01 11:52:28.455679,348,23,Flat,15.0,2616.92
2,2024-09-01 11:52:28.455679,286,23,Flat,15.0,2805.02
2,2024-10-01 11:52:28.455679,272,23,Flat,15.0,2594.41
2,2024-11-01 11:52:28.455679,281,23,Flat,15.0,2538.12
2,2024-12-01 11:52:28.455679,296,23,Flat,15.0,2618.59
2,2025-01-01 11:52:28.455679,291,23,Flat,15.0,2432.71
2,2025-02-01 11:52:28.455679,324,23,Flat,15.0,2136.43
2,2025-03-01 11:52:28.455679,333,23,Flat,15.0,2549.48
2,2025-04-01 11:52:28.455679,329,23,Flat,15.0,2308.9
3,2024-05-01 11:52:28.455679,323,80,Flat,10.0,3379.67
3,2024-06-01 11:52:28.455679,311,80,Flat,10.0,3727.26
3,2024-07-01 11:52:28.455679,280,80,Flat,10.0,3544.18
3,2024-08-01 11:52:28.455679,261,80,Flat,10.0,3805.54
3,2024-09-01 11:52:28.455679,266,80,Flat,10.0,3442.21
3,2024-10-01 11:52:28.455679,260,80,Flat,10.0,3505.83
3,2024-11-01 11:52:28.455679,284,80,Flat,10.0,3830.06
3,2024-12-01 11:52:28.455679,346,80,Flat,10.0,3655.97
3,2025-01-01 11:52:28.455679,322,80,Flat,10.0,3304.53
3,2025-02-01 11:52:28.455679,357,80,Flat,10.0,3651.55
3,2025-03-01 11:52:28.455679,245,80,Flat,10.0,3896.25
3,2025-04-01 11:52:28.455679,218,80,Flat,10.0,3504.28
4,2024-05-01 11:52:28.455679,230,49,House,11.0,3099.61
4,2024-06-01 11:52:28.455679,265,49,House,11.0,2810.12
4,2024-07-01 11:52:28.455679,319,49,House,11.0,2952.64
4,2024-08-01 11:52:28.455679,300,49,House,11.0,3197.97
4,2024-09-01 11:52:28.455679,271,49,House,11.0,3023.85
