propertyid,budget_year,category,budgeted_amount_gbp,actual_spend_gbp,variance_gbp,variance_percent,property_type,property_age_years,blockid,estateid
362,2022,Routine Repairs,278,238,-40,-14.3,House,32.0,21.0,
362,2022,Cyclical Decorating,200,217,17,8.4,House,32.0,21.0,
362,2022,Communal Repairs,356,403,46,13.0,House,32.0,21.0,
362,2022,Major Works,130,136,5,4.0,House,32.0,21.0,
362,2022,Emergency Repairs,133,123,-10,-7.3,House,32.0,21.0,
74,2022,Planned Maintenance,139,166,27,19.5,Flat,30.0,5.0,3.0
74,2022,Emergency Repairs,328,290,-38,-11.6,Flat,30.0,5.0,3.0
74,2022,Major Works,332,266,-66,-19.8,Flat,30.0,5.0,3.0
74,2022,Communal Repairs,159,189,30,18.9,Flat,30.0,5.0,3.0
375,2022,Cyclical Decorating,109,124,14,13.2,Flat,32.0,22.0,
375,2022,Major Works,309,327,18,6.0,Flat,32.0,22.0,
375,2022,Void Works,216,245,29,13.4,Flat,32.0,22.0,
375,2022,Compliance Works,115,122,7,5.7,Flat,32.0,22.0,
375,2022,Routine Repairs,297,260,-37,-12.4,Flat,32.0,22.0,
156,2022,Planned Maintenance,189,214,24,12.7,Block of Flats,32.0,2.0,1.0
156,2022,Routine Repairs,283,255,-28,-10.0,Block of Flats,32.0,2.0,1.0
156,2022,Communal Repairs,208,198,-10,-4.9,Block of Flats,32.0,2.0,1.0
156,2022,Cyclical Decorating,341,357,15,4.5,Block of Flats,32.0,2.0,1.0
156,2022,Compliance Works,255,230,-25,-9.7,Block of Flats,32.0,2.0,1.0
156,2022,Major Works,249,292,43,17.1,Block of Flats,32.0,2.0,1.0
105,2022,Planned Maintenance,236,241,6,2.5,Flat,30.0,5.0,3.0
105,2022,Cyclical Decorating,235,282,47,19.9,Flat,30.0,5.0,3.0
105,2022,Void Works,213,201,-12,-5.7,Flat,30.0,5.0,3.0
105,2022,Major Works,133,134,1,0.7,Flat,30.0,5.0,3.0
