propertyid,quarter,year,period_start,period_end,expected_rent_gbp,actual_rent_gbp,rent_collection_rate_percent,void_loss_gbp,service_charge_income_gbp,maintenance_cost_gbp,management_cost_gbp,net_income_gbp,estimated_property_value_gbp,quarterly_roi_percent,annualized_roi_percent,property_type,blockid,estateid
375,2,2023,2023-04-01,2023-08-30,1873,1699,90.7,0,558,771,150,1336,281769,0.47,1.9,Flat,22.0,
372,2,2023,2023-04-01,2023-08-30,2577,2394,92.9,0,316,720,211,1779,302905,0.59,2.35,Flat,19.0,
409,2,2023,2023-04-01,2023-08-30,1855,1739,93.8,0,320,483,174,1403,189587,0.74,2.96,Flat,19.0,
491,2,2023,2023-04-01,2023-08-30,2036,1918,94.2,0,594,337,181,1994,289539,0.69,2.75,Flat,,
357,2,2023,2023-04-01,2023-08-30,2180,1965,90.1,0,574,262,188,2089,296327,0.7,2.82,Flat,19.0,
77,2,2023,2023-04-01,2023-08-30,2068,1950,94.3,0,399,231,231,1887,237738,0.79,3.17,Flat,11.0,6.0
498,2,2023,2023-04-01,2023-08-30,3045,2929,96.2,0,250,738,346,2096,260742,0.8,3.22,House,,
441,2,2023,2023-04-01,2023-08-30,2769,2610,94.3,0,521,644,256,2231,202226,1.1,4.41,Flat,,
3,2,2023,2023-04-01,2023-08-30,2334,2186,93.6,0,383,325,247,1996,192038,1.04,4.16,Flat,10.0,5.0
410,2,2023,2023-04-01,2023-08-30,2620,2608,99.5,0,265,430,288,2155,266661,0.81,3.23,House,22.0,
64,2,2023,2023-04-01,2023-08-30,2015,1934,96.0,0,489,239,167,2017,309639,0.65,2.61,Flat,1.0,1.0
486,2,2023,2023-04-01,2023-08-30,2746,2629,95.7,0,541,213,244,2713,153252,1.77,7.08,Flat,,
1,2,2023,2023-04-01,2023-08-30,1835,1829,99.7,0,310,521,216,1402,214945,0.65,2.61,Flat,1.0,1.0
416,2,2023,2023-04-01,2023-08-30,3409,3299,96.8,0,156,278,294,2883,222279,1.3,5.19,House,21.0,
23,2,2023,2023-04-01,2023-08-30,2553,2449,95.9,0,342,573,281,1938,187229,1.03,4.14,Flat,2.0,1.0
411,2,2023,2023-04-01,2023-08-30,2660,2484,93.4,1005,431,391,305,1214,275072,0.44,1.76,Flat,19.0,
205,2,2023,2023-04-01,2023-08-30,2164,1985,91.7,0,488,724,190,1559,224391,0.69,2.78,Flat,7.0,4.0
495,2,2023,2023-04-01,2023-08-30,2368,2301,97.2,0,506,771,197,1839,263518,0.7,2.79,Flat,,
484,2,2023,2023-04-01,2023-08-30,2623,2613,99.6,0,349,772,299,1891,349068,0.54,2.17,Flat,,
452,2,2023,2023-04-01,2023-08-30,2843,2801,98.5,0,141,318,332,2293,178341,1.29,5.14,House,,
239,2,2023,2023-04-01,2023-08-30,2375,2234,94.1,0,369,479,253,1871,211093,0.89,3.55,Flat,22.0,
353,2,2023,2023-04-01,2023-08-30,2276,2115,92.9,0,467,460,234,1888,180442,1.05,4.18,Flat,22.0,
318,2,2023,2023-04-01,2023-08-30,2546,2530,99.4,0,522,738,305,2009,300279,0.67,2.68,Flat,19.0,
155,2,2023,2023-04-01,2023-08-30,2875,2665,92.7,0,208,329,299,2244,171853,1.31,5.22,House,3.0,1.0
478,2,2023,2023-04-01,2023-08-30,2480,2241,90.4,0,0,333,277,1631,213396,0.76,3.06,Block of Flats,,
181,2,2023,2023-04-01,2023-08-30,2439,2300,94.3,0,0,635,289,1376,159670,0.86,3.45,Block of Flats,10.0,5.0
325,2,2023,2023-04-01,2023-08-30,2192,1980,90.3,0,0,317,209,1453,245125,0.59,2.37,Block of Flats,22.0,
16,2,2023,2023-04-01,2023-08-30,2800,2663,95.1,0,448,218,226,2667,178410,1.49,5.98,Flat,8.0,4.0
333,2,2023,2023-04-01,2023-08-30,1948,1914,98.2,0,307,211,187,1822,241947,0.75,3.01,Flat,20.0,
332,2,2023,2023-04-01,2023-08-30,2342,2124,90.7,0,420,777,225,1542,349448,0.44,1.77,Flat,22.0,
424,2,2023,2023-04-01,2023-08-30,2461,2392,97.2,0,504,648,220,2028,254010,0.8,3.19,Flat,22.0,
336,2,2023,2023-04-01,2023-08-30,1844,1727,93.7,0,599,487,166,1673,193587,0.86,3.46,Flat,18.0,
26,2,2023,2023-04-01,2023-08-30,2101,2020,96.1,584,449,269,187,1430,203427,0.7,2.81,Flat,5.0,3.0
