propertyid,tenantid,service_category,charge_amount_gbp,quarter,year,period_start,period_end,payment_status,payment_date,property_type,estateid,blockid
1,47.0,Building Insurance,214,2,2023,2023-04-01,2023-08-30,Paid,2023-09-21,Flat,1.0,1.0
1,47.0,Grounds Maintenance,133,2,2023,2023-04-01,2023-08-30,Paid,2023-09-22,Flat,1.0,1.0
1,47.0,Cleaning (Communal Areas),162,2,2023,2023-04-01,2023-08-30,Disputed,,Flat,1.0,1.0
1,47.0,Lift Maintenance,160,2,2023,2023-04-01,2023-08-30,Paid,2023-08-31,Flat,1.0,1.0
1,47.0,Building Repairs,283,2,2023,2023-04-01,2023-08-30,Paid,2023-09-26,Flat,1.0,1.0
1,47.0,Management Fee,105,2,2023,2023-04-01,2023-08-30,Paid,2023-09-06,Flat,1.0,1.0
1,47.0,Security Systems,88,2,2023,2023-04-01,2023-08-30,Paid,2023-09-23,Flat,1.0,1.0
1,47.0,Electricity (Communal Areas),112,2,2023,2023-04-01,2023-08-30,Paid,2023-09-01,Flat,1.0,1.0
1,47.0,Water (Communal Areas),56,2,2023,2023-04-01,2023-08-30,Paid,2023-09-16,Flat,1.0,1.0
1,47.0,Sinking Fund,195,2,2023,2023-04-01,2023-08-30,Paid,2023-09-26,Flat,1.0,1.0
1,47.0,Building Insurance,220,3,2023,2023-07-01,2023-11-30,Paid,2023-12-09,Flat,1.0,1.0
1,47.0,Grounds Maintenance,122,3,2023,2023-07-01,2023-11-30,Paid,2023-12-15,Flat,1.0,1.0
1,47.0,Cleaning (Communal Areas),184,3,2023,2023-07-01,2023-11-30,Paid,2023-12-19,Flat,1.0,1.0
1,47.0,Lift Maintenance,169,3,2023,2023-07-01,2023-11-30,Paid,2023-12-30,Flat,1.0,1.0
1,47.0,Building Repairs,219,3,2023,2023-07-01,2023-11-30,Paid,2023-12-06,Flat,1.0,1.0
1,47.0,Management Fee,95,3,2023,2023-07-01,2023-11-30,Paid,2023-12-01,Flat,1.0,1.0
1,47.0,Security Systems,86,3,2023,2023-07-01,2023-11-30,Paid,2023-12-07,Flat,1.0,1.0
1,47.0,Electricity (Communal Areas),125,3,2023,2023-07-01,2023-11-30,Paid,2023-12-29,Flat,1.0,1.0
1,47.0,Water (Communal Areas),64,3,2023,2023-07-01,2023-11-30,Paid,2023-12-27,Flat,1.0,1.0
1,47.0,Sinking Fund,211,3,2023,2023-07-01,2023-11-30,Overdue,,Flat,1.0,1.0
1,47.0,Building Insurance,222,4,2023,2023-10-01,2023-12-31,Paid,2024-01-24,Flat,1.0,1.0
1,47.0,Grounds Maintenance,107,4,2023,2023-10-01,2023-12-31,Paid,2024-01-23,Flat,1.0,1.0
1,47.0,Cleaning (Communal Areas),169,4,2023,2023-10-01,2023-12-31,Paid,2024-01-19,Flat,1.0,1.0
1,47.0,Lift Maintenance,142,4,2023,2023-10-01,2023-12-31,Paid,2024-01-07,Flat,1.0,1.0
1,47.0,Building Repairs,233,4,2023,2023-10-01,2023-12-31,Paid,2024-01-10,Flat,1.0,1.0
