payment_id,tenantid,propertyid,payment_date,amount_gbp,payment_method,propertytype,property_age_years,arrears_flag,arrears_amount,benefit_contribution,tenant_contribution
1,1,362,2019-01-02,973,Direct Debit,House,74,False,0.0,0.3,0.7
2,1,362,2019-02-07,645,Bank Transfer,House,74,False,0.0,0.76,0.24
3,1,362,2019-03-10,1130,Direct Debit,House,74,False,0.0,0.59,0.41000000000000003
4,1,362,2019-04-05,692,Direct Debit,House,74,False,0.0,0.48,0.52
5,1,362,2019-05-09,1310,Bank Transfer,House,74,False,0.0,0.12,0.88
6,1,362,2019-06-02,751,Cash,House,74,False,0.0,0.12,0.88
7,1,362,2019-07-05,623,Housing Benefit,House,74,False,0.0,0.05,0.95
8,1,362,2019-08-03,1016,Housing Benefit,House,74,False,0.0,0.69,0.31000000000000005
9,1,362,2019-09-03,682,Direct Debit,House,74,False,0.0,0.48,0.52
10,1,362,2019-10-08,1420,Direct Debit,House,74,False,0.0,0.57,0.43000000000000005
11,1,362,2019-11-02,574,Direct Debit,House,74,False,0.0,0.02,0.98
12,1,362,2019-12-07,1133,Housing Benefit,House,74,False,0.0,0.78,0.21999999999999997
13,1,362,2020-01-06,612,Direct Debit,House,74,False,0.0,0.67,0.32999999999999996
14,1,362,2020-02-01,733,Bank Transfer,House,74,False,0.0,0.17,0.83
15,1,362,2020-03-05,705,Direct Debit,House,74,False,0.0,0.15,0.85
16,1,362,2020-04-02,706,Housing Benefit,House,74,False,0.0,0.15,0.85
17,1,362,2020-05-02,1027,Housing Benefit,House,74,False,0.0,0.24,0.76
18,1,362,2020-06-01,612,Housing Benefit,House,74,False,0.0,0.42,0.5800000000000001
19,1,362,2020-07-07,1159,Direct Debit,House,74,False,0.0,0.35,0.65
20,1,362,2020-08-06,1195,Bank Transfer,House,74,False,0.0,0.23,0.77
21,1,362,2020-09-07,1356,Direct Debit,House,74,False,0.0,0.49,0.51
22,1,362,2020-10-10,1428,Housing Benefit,House,74,False,0.0,0.11,0.89
