propertyid,valuation_date,property_value_gbp,valuation_method,valuer,estimated_monthly_rent_gbp,rental_yield_percent,property_type,property_age_years,bedrooms,estateid,blockid,year
1,2020-04-29,191000,Cost Approach,RICS Registered Valuer,645,4.05,Flat,26.0,3,1.0,1.0,2020
1,2021-04-29,199000,On-site Professional Valuation,Internal Valuation Team,908,5.47,Flat,27.0,3,1.0,1.0,2021
1,2022-04-29,211000,Comparative Market Analysis,RICS Registered Valuer,715,4.06,Flat,28.0,3,1.0,1.0,2022
1,2023-04-29,219000,On-site Professional Valuation,RICS Registered Valuer,950,5.2,Flat,29.0,3,1.0,1.0,2023
1,2024-04-28,234000,Automated Valuation Model,RICS Registered Valuer,1054,5.4,Flat,30.0,3,1.0,1.0,2024
1,2025-04-28,246000,Comparative Market Analysis,RICS Registered Valuer,934,4.56,Flat,31.0,3,1.0,1.0,2025
2,2020-04-29,318000,Income Capitalization,RICS Registered Valuer,1240,4.68,Flat,27.0,2,9.0,15.0,2020
2,2021-04-29,343000,Comparative Market Analysis,Automated System,1336,4.67,Flat,28.0,2,9.0,15.0,2021
2,2022-04-29,355000,On-site Professional Valuation,Independent Surveyor,1685,5.69,Flat,29.0,2,9.0,15.0,2022
2,2023-04-29,380000,On-site Professional Valuation,Internal Valuation Team,1729,5.46,Flat,30.0,2,9.0,15.0,2023
2,2024-04-28,410000,On-site Professional Valuation,Independent Surveyor,1625,4.76,Flat,31.0,2,9.0,15.0,2024
2,2025-04-28,439000,Cost Approach,"Rogers, Lewis and Bell Valuations",1916,5.24,Flat,32.0,2,9.0,15.0,2025
3,2020-04-29,253000,Income Capitalization,Independent Surveyor,873,4.14,Flat,29.0,3,5.0,10.0,2020
3,2021-04-29,273000,Comparative Market Analysis,Automated System,1299,5.71,Flat,30.0,3,5.0,10.0,2021
3,2022-04-29,285000,Cost Approach,RICS Registered Valuer,1252,5.27,Flat,31.0,3,5.0,10.0,2022
3,2023-04-29,299000,Cost Approach,Internal Valuation Team,1101,4.42,Flat,32.0,3,5.0,10.0,2023
3,2024-04-28,317000,Income Capitalization,RICS Registered Valuer,1147,4.34,Flat,33.0,3,5.0,10.0,2024
3,2025-04-28,334000,On-site Professional Valuation,RICS Registered Valuer,1264,4.54,Flat,34.0,3,5.0,10.0,2025
4,2020-04-29,346000,Comparative Market Analysis,RICS Registered Valuer,1639,5.69,House,30.0,1,6.0,11.0,2020
4,2021-04-29,371000,Automated Valuation Model,Independent Surveyor,1734,5.61,House,31.0,1,6.0,11.0,2021
4,2022-04-29,383000,On-site Professional Valuation,Independent Surveyor,1860,5.83,House,32.0,1,6.0,11.0,2022
4,2023-04-29,399000,Automated Valuation Model,RICS Registered Valuer,1662,5.0,House,33.0,1,6.0,11.0,2023
4,2024-04-28,416000,On-site Professional Valuation,Clarke and Sons Valuations,1558,4.49,House,34.0,1,6.0,11.0,2024
4,2025-04-28,434000,On-site Professional Valuation,Automated System,1870,5.17,House,35.0,1,6.0,11.0,2025
5,2020-04-29,532000,Income Capitalization,Lawson LLC Valuations,2658,5.99,House,29.0,3,9.0,16.0,2020
5,2021-04-29,561000,Comparative Market Analysis,RICS Registered Valuer,2577,5.51,House,30.0,3,9.0,16.0,2021
5,2022-04-29,596000,Automated Valuation Model,"Pratt, Lucas and Parkes Valuations",2773,5.58,House,31.0,3,9.0,16.0,2022
5,2023-04-29,615000,Automated Valuation Model,Davis and Sons Valuations,2441,4.76,House,32.0,3,9.0,16.0,2023
5,2024-04-28,641000,Comparative Market Analysis,Internal Valuation Team,2728,5.11,House,33.0,3,9.0,16.0,2024
5,2025-04-28,683000,Cost Approach,Independent Surveyor,2888,5.07,House,34.0,3,9.0,16.0,2025
6,2020-04-29,172000,Automated Valuation Model,Internal Valuation Team,698,4.87,Flat,27.0,3,1.0,3.0,2020
