inspectionid,propertyid,lastinspectiondate,inspector,outcome,notes,inspection_type,buildingregistrationdate,property_age_years,patchid,patchname,days_since_last_inspection,compliance_outcome,follow_up_required,backlog_flag,compliance_severity
1,1,2021-05-14,Inspector 2,Needs Attention,Inspection notes for property 1,Gas Safety,1959-01-01,66,7,West Patch 1,1328,Pass,False,False,None
2,1,2023-07-26,Inspector 10,Needs Attention,Inspection notes for property 1,Water Hygiene,1959-01-01,66,7,West Patch 1,525,Pass,False,False,None
3,1,2024-04-23,Inspector 7,Pass,Inspection notes for property 1,Electrical,1959-01-01,66,7,West Patch 1,253,Pass,False,False,None
4,1,2021-01-17,Inspector 10,Pass,Inspection notes for property 1,Electrical,1959-01-01,66,7,West Patch 1,1445,Pass,False,False,None
5,1,2024-09-06,Inspector 2,Fail,Inspection notes for property 1,Fire Safety,1959-01-01,66,7,West Patch 1,117,Pass,False,False,None
6,2,2023-12-16,Inspector 5,Needs Attention,Inspection notes for property 2,Fire Safety,2002-01-01,23,4,East Patch 2,382,Pass,False,False,None
7,2,2023-01-26,Inspector 7,Fail,Inspection notes for property 2,Fire Safety,2002-01-01,23,4,East Patch 2,706,Advisory,True,False,High
8,2,2024-09-11,Inspector 9,Fail,Inspection notes for property 2,General HHSRS,2002-01-01,23,4,East Patch 2,112,Pass,False,False,None
9,2,2021-03-21,Inspector 8,Fail,Inspection notes for property 2,Electrical,2002-01-01,23,4,East Patch 2,1382,Pass,False,False,None
10,2,2025-01-23,Inspector 1,Needs Attention,Inspection notes for property 2,Electrical,2002-01-01,23,4,East Patch 2,-22,Pass,False,False,None
11,2,2024-06-16,Inspector 10,Needs Attention,Inspection notes for property 2,Fire Safety,2002-01-01,23,4,East Patch 2,199,Advisory,True,False,High
12,3,2024-07-28,Inspector 9,Pass,Inspection notes for property 3,Water Hygiene,1945-01-01,80,5,South Patch 1,157,Advisory,True,False,Low
13,3,2021-08-01,Inspector 2,Fail,Inspection notes for property 3,General HHSRS,1945-01-01,80,5,South Patch 1,1249,Pass,False,False,None
14,3,2023-10-13,Inspector 8,Fail,Inspection notes for property 3,Fire Safety,1945-01-01,80,5,South Patch 1,446,Advisory,True,False,Medium
15,4,2024-10-18,Inspector 2,Pass,Inspection notes for property 4,Fire Safety,1976-01-01,49,7,West Patch 1,75,Pass,False,False,None
16,4,2020-04-19,Inspector 5,Fail,Inspection notes for property 4,Fire Safety,1976-01-01,49,7,West Patch 1,1718,Pass,False,False,None
17,4,2023-04-29,Inspector 7,Needs Attention,Inspection notes for property 4,Gas Safety,1976-01-01,49,7,West Patch 1,613,Pass,False,False,None
18,4,2024-07-18,Inspector 1,Pass,Inspection notes for property 4,Gas Safety,1976-01-01,49,7,West Patch 1,167,Pass,False,False,None
19,4,2021-11-05,Inspector 3,Fail,Inspection notes for property 4,Gas Safety,1976-01-01,49,7,West Patch 1,1153,Pass,False,False,None
20,5,2021-04-08,Inspector 5,Needs Attention,Inspection notes for property 5,Fire Safety,1978-01-01,47,3,East Patch 1,1364,Fail,True,False,Low
21,5,2022-12-27,Inspector 6,Pass,Inspection notes for property 5,Electrical,1978-01-01,47,3,East Patch 1,736,Advisory,True,False,Medium
22,5,2022-10-31,Inspector 7,Fail,Inspection notes for property 5,Fire Safety,1978-01-01,47,3,East Patch 1,793,Pass,False,False,None
23,5,2020-05-23,Inspector 7,Needs Attention,Inspection notes for property 5,Fire Safety,1978-01-01,47,3,East Patch 1,1684,Pass,False,False,None
24,5,2020-04-08,Inspector 7,Needs Attention,Inspection notes for property 5,Gas Safety,1978-01-01,47,3,East Patch 1,1729,Pass,False,False,None
25,6,2024-02-05,Inspector 1,Pass,Inspection notes for property 6,Gas Safety,1968-01-01,57,8,West Patch 2,331,Pass,False,False,None
26,6,2022-09-29,Inspector 10,Fail,Inspection notes for property 6,General HHSRS,1968-01-01,57,8,West Patch 2,825,Pass,False,False,None
27,7,2024-01-23,Inspector 10,Fail,Inspection notes for property 7,Fire Safety,2010-01-01,15,5,South Patch 1,344,Pass,False,False,None
28,7,2021-08-25,Inspector 1,Needs Attention,Inspection notes for property 7,Gas Safety,2010-01-01,15,5,South Patch 1,1225,Pass,False,False,None
29,7,2024-06-05,Inspector 8,Fail,Inspection notes for property 7,Electrical,2010-01-01,15,5,South Patch 1,210,Advisory,True,False,Medium
30,7,2022-09-10,Inspector 8,Pass,Inspection notes for property 7,Fire Safety,2010-01-01,15,5,South Patch 1,844,Pass,False,False,None
31,7,2023-12-08,Inspector 6,Pass,Inspection notes for property 7,Electrical,2010-01-01,15,5,South Patch 1,390,Pass,False,False,None
32,8,2020-10-10,Inspector 10,Needs Attention,Inspection notes for property 8,Fire Safety,2001-01-01,24,5,South Patch 1,1544,Advisory,True,False,Low
33,8,2023-10-28,Inspector 6,Needs Attention,Inspection notes for property 8,Fire Safety,2001-01-01,24,5,South Patch 1,431,Pass,False,False,None
